regime,seed,attack,auc,tpr_at_0001_fpr,tpr_at_001_fpr
frozen,42,loss_adaptive,0.5165,0.0004,0.0111
frozen,42,confidence_adaptive,0.504,0.0004,0.0111
frozen,42,entropy_adaptive,0.5039,0.0004,0.0108
frozen,123,loss_adaptive,0.517,0.0007,0.0101
frozen,123,confidence_adaptive,0.5055,0.0007,0.0101
frozen,123,entropy_adaptive,0.505,0.0007,0.0104
frozen,2026,loss_adaptive,0.5156,0.0011,0.0094
frozen,2026,confidence_adaptive,0.5035,0.0011,0.0094
frozen,2026,entropy_adaptive,0.5032,0.0011,0.0096
scratch,42,loss_adaptive,0.5389,0.0004,0.0103
scratch,42,confidence_adaptive,0.5185,0.0004,0.0103
scratch,42,entropy_adaptive,0.5176,0.0004,0.01
scratch,123,loss_adaptive,0.5239,0.0004,0.0083
scratch,123,confidence_adaptive,0.5079,0.0004,0.0083
scratch,123,entropy_adaptive,0.5089,0.0004,0.009
scratch,2026,loss_adaptive,0.5123,0.0007,0.0108
scratch,2026,confidence_adaptive,0.504,0.0007,0.0108
scratch,2026,entropy_adaptive,0.5041,0.0007,0.0111
partial,42,loss_adaptive,0.717,0.0059,0.0178
partial,42,confidence_adaptive,0.7143,0.0059,0.0178
partial,42,entropy_adaptive,0.7143,0.0059,0.0181
partial,123,loss_adaptive,0.6299,0.001,0.012
partial,123,confidence_adaptive,0.6216,0.001,0.012
partial,123,entropy_adaptive,0.6216,0.001,0.0118
partial,2026,loss_adaptive,0.6911,0.0053,0.0154
partial,2026,confidence_adaptive,0.688,0.0053,0.0154
partial,2026,entropy_adaptive,0.6877,0.0053,0.0154
full,42,loss_adaptive,0.6969,0.0124,0.0348
full,42,confidence_adaptive,0.6942,0.0124,0.0348
full,42,entropy_adaptive,0.6945,0.0124,0.0344
full,123,loss_adaptive,0.701,0.0076,0.0372
full,123,confidence_adaptive,0.6986,0.0076,0.0372
full,123,entropy_adaptive,0.6987,0.0077,0.037
full,2026,loss_adaptive,0.6983,0.0094,0.0315
full,2026,confidence_adaptive,0.697,0.0094,0.0315
full,2026,entropy_adaptive,0.697,0.0094,0.0313
