regime,seed,T,baseline_ece,scaled_ece,baseline_loss_auc,naive_loss_auc,adaptive_loss_auc,semi_loss_auc,baseline_entr_tpr1,naive_entr_tpr1,baseline_entr_gap,scaled_entr_gap
scratch,42,1.154814,0.041629,0.013765,0.5389,0.5387,0.5389,,0.01,0.0101,0.037211,0.034667
scratch,123,1.068447,0.029922,0.023086,0.5239,0.5239,0.5239,,0.009,0.01,0.019627,0.019641
scratch,2026,1.096981,0.040292,0.024748,0.5123,0.5122,0.5123,,0.0111,0.0111,0.01061,0.010312
frozen,42,1.029574,0.022274,0.023086,0.5165,0.5165,0.5165,,0.0108,0.0107,0.007104,0.00715
frozen,123,1.002311,0.019625,0.018295,0.517,0.517,0.517,,0.0104,0.0104,0.008642,0.008643
frozen,2026,1.00442,0.013452,0.013635,0.5156,0.5156,0.5156,,0.0096,0.0096,0.005932,0.005936
partial,42,1.692823,0.09487,0.051649,0.717,0.7176,0.717,,0.0181,0.0197,0.142956,0.258882
partial,123,1.388496,0.064835,0.035077,0.6299,0.6299,0.6299,,0.0118,0.0128,0.17374,0.20841
partial,2026,1.523502,0.079629,0.037026,0.6911,0.6905,0.6911,,0.0154,0.0171,0.173231,0.259567
full,42,1.812057,0.086725,0.049784,0.6969,0.7004,0.6969,,0.0344,0.0344,0.111815,0.224499
full,123,1.73578,0.084751,0.046335,0.701,0.702,0.701,,0.037,0.0418,0.108387,0.211865
full,2026,1.770078,0.092201,0.054147,0.6983,0.6988,0.6983,,0.0313,0.0313,0.100753,0.207653
