run_id,regime,seed,loss_auc_baseline,loss_auc_naive,confidence_auc_baseline,confidence_auc_naive,entropy_auc_baseline,entropy_auc_naive,loss_tpr001_baseline,loss_tpr001_naive,entropy_tpr001_baseline,entropy_tpr001_naive
dermamnist_resnet18_frozen_seed42,frozen,42,0.5165,0.5165,0.504,0.5041,0.5039,0.504,0.0111,0.0106,0.0108,0.0107
dermamnist_resnet18_frozen_seed123,frozen,123,0.517,0.517,0.5055,0.5055,0.505,0.505,0.0101,0.0101,0.0104,0.0104
dermamnist_resnet18_frozen_seed2026,frozen,2026,0.5156,0.5156,0.5035,0.5035,0.5032,0.5032,0.0094,0.0094,0.0096,0.0096
dermamnist_resnet18_scratch_seed42,scratch,42,0.5389,0.5387,0.5185,0.5184,0.5176,0.5166,0.0103,0.0098,0.01,0.0101
dermamnist_resnet18_scratch_seed123,scratch,123,0.5239,0.5239,0.5079,0.508,0.5089,0.5091,0.0083,0.0086,0.009,0.01
dermamnist_resnet18_scratch_seed2026,scratch,2026,0.5123,0.5122,0.504,0.504,0.5041,0.504,0.0108,0.0113,0.0111,0.0111
dermamnist_resnet18_partial_seed42,partial,42,0.717,0.7176,0.7143,0.7145,0.7143,0.7142,0.0178,0.0193,0.0181,0.0197
dermamnist_resnet18_partial_seed123,partial,123,0.6299,0.6299,0.6216,0.6214,0.6216,0.6202,0.012,0.0127,0.0118,0.0128
dermamnist_resnet18_partial_seed2026,partial,2026,0.6911,0.6905,0.688,0.6872,0.6877,0.6862,0.0154,0.0171,0.0154,0.0171
dermamnist_resnet18_full_seed42,full,42,0.6969,0.7004,0.6942,0.6976,0.6945,0.6983,0.0348,0.034,0.0344,0.0344
dermamnist_resnet18_full_seed123,full,123,0.701,0.702,0.6986,0.6994,0.6987,0.6992,0.0372,0.0402,0.037,0.0418
dermamnist_resnet18_full_seed2026,full,2026,0.6983,0.6988,0.697,0.6973,0.697,0.6971,0.0315,0.031,0.0313,0.0313
